PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
RJ Harvey,RB,DEN,10,166.1,88.6,31,0.0
Jaylen Warren,RB,PIT,9,165.5,88.1,32,0.0
Bucky Irving,RB,TB,10,163.3,86.4,33,0.0
Kyle Monangai,RB,CHI,10,147.6,73.9,34,0.0
Aaron Jones,RB,MIN,6,142.5,69.8,35,0.0
Blake Corum,RB,LAR,11,132.2,61.5,36,0.0
Jordan Mason,RB,MIN,6,132.1,61.4,37,0.0
Emanuel Wilson,RB,SEA,11,127.2,57.5,38,0.0
Rachaad White,RB,WSH,7,124.0,55.0,39,0.0
Jacory Croskey-Merritt,RB,WSH,7,123.7,54.7,40,0.0
Chris Rodriguez,RB,JAX,7,123.0,54.2,41,0.0
J.K. Dobbins,RB,DEN,10,120.3,52.0,42,0.0
Jonathon Brooks,RB,CAR,5,119.8,51.6,43,0.0
Isiah Pacheco,RB,DET,6,109.5,43.4,44,0.0
Alvin Kamara,RB,NO,8,98.7,34.7,45,0.0
Woody Marks,RB,HOU,8,98.1,34.3,46,0.0
Tyrone Tracy,RB,NYG,8,93.3,30.4,47,0.0
Justice Hill,RB,BAL,13,92.6,29.8,48,0.0
Dylan Sampson,RB,CLE,11,91.1,28.6,49,0.0
Samaje Perine,RB,CIN,6,88.4,26.5,50,0.0
Braelon Allen,RB,NYJ,13,86.1,24.6,51,0.0
Brian Robinson,RB,ATL,11,85.3,24.0,52,0.0
Tank Bigsby,RB,PHI,10,80.7,20.3,53,0.0
Tyler Allgeier,RB,ARI,14,80.2,19.9,54,0.0
Ty Johnson,RB,BUF,7,78.4,18.5,55,0.0
Tyjae Spears,RB,TEN,9,75.6,16.2,56,0.0
Mike Washington,RB,LV,13,64.4,7.3,57,0.0
Kaytron Allen,RB,WSH,7,62.7,5.9,58,0.0
Emmett Johnson,RB,KC,5,60.6,4.3,59,0.0
Chris Brooks,RB,GB,11,60.3,4.0,60,0.0
Keaton Mitchell,RB,LAC,7,56.9,1.3,61,0.0
Kimani Vidal,RB,LAC,7,55.3,0.0,62,0.0
MarShawn Lloyd,RB,GB,11,53.2,-1.7,63,0.0
