PLAYER,POS,TEAM,BYE,FPS,VORP,POS_RANK,PASS_TD
Payne Durham,TE,TB,10,15.5,-157.3,70,0.0
Mo Alie-Cox,TE,IND,13,12.9,-159.9,71,0.0
Nate Boerkircher,TE,JAX,7,12.7,-160.1,72,0.0
Sam Roush,TE,CHI,10,12.0,-160.8,73,0.0
Jeremy Ruckert,TE,NYJ,13,11.7,-161.1,74,0.0
Jared Wiley,TE,KC,5,9.8,-163.0,75,0.0
Foster Moreau,TE,HOU,8,9.4,-163.5,76,0.0
Charlie Woerner,TE,ATL,11,9.0,-163.8,77,0.0
Michael Trigg,TE,DAL,14,7.5,-165.4,78,0.0
Joe Royer,TE,CLE,11,6.8,-166.0,79,0.0
Tyler Conklin,TE,DET,6,4.7,-168.1,80,0.0
Tip Reiman,TE,ARI,14,4.1,-168.7,81,0.0
Ben Yurosek,TE,MIN,6,3.7,-169.1,82,0.0
Thomas Fidone,TE,NYG,8,3.6,-169.2,83,0.0
Grant Calcaterra,TE,PHI,10,3.6,-169.2,84,0.0
Jack Stoll,TE,CLE,11,3.2,-169.6,85,0.0
Josh Cuevas,TE,BAL,13,0.0,-172.8,86,0.0
Jack Endries,TE,CIN,6,0.0,-172.8,87,0.0
